cliente_id,meses_como_cliente,compras_12m,dias_desde_ultima_compra,gasto_total_12m,ticket_medio,categoria_preferida,canal_preferido,pct_compras_com_cupom,abriu_email_mkt_pct,visitas_site_mes,chamados_suporte_12m,devolucoes_12m
C00001,64,15,35,8850,452,beleza,app,0.144,0.47,11,3,1
C00002,33,20,44,2130,105,moda,app,0.533,0.547,10,3,4
C00003,70,6,31,4600,458,eletronicos,site,0.093,0.582,30,0,1
C00004,22,14,1,6460,404,casa,site,0.106,0.516,15,2,0
C00005,31,9,41,1460,101,eletronicos,app,0.937,0.305,7,3,2
C00006,4,4,103,230,118,casa,app,0.265,0.193,5,0,0
C00007,38,20,23,8730,184,casa,site,0.05,0.679,13,2,0
C00008,47,13,38,1770,380,eletronicos,app,0.12,0.519,18,1,0
C00009,52,0,171,690,129,mercado,loja,0.778,0.051,4,5,4
C00010,32,1,207,360,95,mercado,site,0.497,0.0,5,3,3
C00011,6,3,118,370,123,casa,site,0.329,0.127,5,1,0
C00012,49,1,70,670,154,casa,site,0.381,0.074,4,5,0
C00013,71,21,1,4900,410,casa,app,0.019,0.631,17,1,1
C00014,4,9,27,1700,74,mercado,app,0.63,0.334,13,0,3
C00015,5,1,48,280,200,mercado,site,0.097,0.136,4,0,1
C00016,55,16,30,1500,325,eletronicos,site,0.166,0.454,4,1,2
C00017,36,27,28,6190,296,casa,site,0.059,0.367,24,1,1
C00018,34,22,15,11610,340,casa,site,0.151,0.456,26,1,0
C00019,76,16,18,7350,290,beleza,site,0.0,0.459,12,1,1
C00020,33,8,30,2440,115,moda,app,0.725,0.282,20,2,4
C00021,37,15,10,12280,440,eletronicos,app,0.132,0.716,17,1,1
C00022,7,1,30,390,115,casa,loja,0.055,0.131,3,2,1
C00023,38,5,76,1040,56,beleza,loja,0.303,0.02,1,7,3
C00024,3,13,33,2220,143,beleza,app,0.894,0.257,8,4,5
C00025,2,3,98,370,215,casa,loja,0.212,0.146,2,1,1
C00026,5,4,115,1060,60,mercado,loja,0.329,0.206,8,1,0
C00027,28,11,14,5060,285,eletronicos,site,0.0,0.511,23,1,0
C00028,8,17,8,2060,97,moda,app,0.713,0.38,23,3,1
C00029,24,13,28,3040,128,moda,app,0.725,0.373,8,3,3
C00030,6,13,14,2540,73,beleza,app,0.657,0.255,9,6,3
C00031,6,2,47,290,83,eletronicos,loja,0.268,0.134,3,0,0
C00032,4,18,2,2290,106,moda,app,0.692,0.331,9,2,2
C00033,9,5,22,480,40,casa,app,0.358,0.133,3,0,1
C00034,36,24,19,3040,218,casa,app,0.057,0.687,23,2,1
C00035,4,13,55,400,76,moda,app,0.805,0.146,11,2,4
C00036,42,2,187,800,213,beleza,loja,0.448,0.079,2,5,4
C00037,34,2,203,80,53,beleza,loja,0.413,0.092,2,5,2
C00038,48,22,22,6360,446,casa,app,0.001,0.731,22,0,0
C00039,50,4,131,610,267,mercado,loja,0.704,0.076,0,2,7
C00040,23,7,76,1400,99,mercado,app,0.552,0.451,5,3,0
C00041,36,2,263,650,96,eletronicos,loja,0.364,0.044,0,5,6
C00042,19,12,34,1390,83,mercado,app,0.749,0.486,10,3,5
C00043,15,9,41,620,89,mercado,app,0.683,0.468,20,0,3
C00044,39,23,17,8280,534,casa,site,0.063,0.893,4,0,0
C00045,30,0,213,920,61,eletronicos,site,0.425,0.084,3,1,4
C00046,40,16,30,6800,281,eletronicos,site,0.124,0.575,22,2,0
C00047,3,3,29,170,326,moda,app,0.341,0.046,0,0,1
C00048,28,14,9,7240,367,moda,app,0.132,0.648,10,0,0
C00049,37,2,158,1380,122,mercado,loja,0.694,0.075,0,5,3
C00050,5,4,62,160,127,mercado,site,0.325,0.079,4,2,0
C00051,44,20,1,6390,336,moda,app,0.054,0.604,23,2,1
C00052,50,22,26,4100,257,eletronicos,loja,0.074,0.527,25,0,1
C00053,12,14,29,2620,126,moda,site,0.659,0.536,19,3,5
C00054,8,1,41,290,204,beleza,app,0.177,0.194,1,1,0
C00055,5,1,48,60,139,casa,loja,0.223,0.016,0,0,1
C00056,5,4,103,410,77,eletronicos,loja,0.406,0.151,2,0,0
C00057,44,13,1,8050,411,moda,loja,0.119,0.44,20,0,2
C00058,37,8,21,1030,91,mercado,app,0.73,0.229,23,4,3
C00059,20,14,16,3350,73,casa,app,0.63,0.448,6,3,2
C00060,65,22,17,6550,234,beleza,site,0.148,0.619,9,0,0
C00061,49,17,26,6230,396,casa,app,0.0,0.665,25,0,2
C00062,34,19,19,6590,438,casa,app,0.104,0.489,23,1,0
C00063,57,16,19,5620,244,eletronicos,app,0.084,0.575,19,2,0
C00064,11,13,27,1470,99,casa,loja,0.77,0.39,16,3,2
C00065,11,17,5,1880,119,mercado,app,0.903,0.479,11,5,1
C00066,16,2,196,730,145,mercado,loja,0.524,0.12,3,1,0
C00067,11,17,46,2980,96,beleza,app,0.737,0.478,8,1,2
C00068,41,1,150,590,149,moda,app,0.233,0.065,3,9,2
C00069,3,20,47,1500,139,beleza,app,0.707,0.406,14,0,0
C00070,7,22,38,1100,120,beleza,site,0.633,0.322,16,4,6
C00071,44,18,29,4020,443,casa,site,0.115,0.586,30,3,0
C00072,69,24,10,7240,436,beleza,site,0.037,0.75,8,1,1
C00073,26,20,13,8600,320,moda,site,0.0,0.707,15,3,0
C00074,27,1,139,300,248,casa,loja,0.398,0.005,1,5,4
C00075,37,4,240,810,289,casa,loja,0.285,0.071,3,10,4
C00076,55,7,34,6170,358,eletronicos,site,0.094,0.717,19,2,1
C00077,14,9,24,2640,105,moda,loja,0.761,0.194,4,2,3
C00078,5,5,30,430,169,mercado,site,0.291,0.0,2,0,0
C00079,6,1,26,860,289,moda,loja,0.217,0.082,1,1,0
C00080,17,11,45,1350,60,beleza,app,0.829,0.523,9,3,0
C00081,5,3,78,80,211,moda,site,0.324,0.206,0,1,0
C00082,41,3,206,1280,151,moda,loja,0.9,0.071,2,6,1
C00083,3,15,21,1900,55,mercado,app,0.599,0.242,21,1,2
C00084,4,3,43,520,270,beleza,site,0.095,0.224,3,0,0
C00085,39,18,18,6400,321,casa,loja,0.109,0.459,15,0,0
C00086,3,3,59,1010,246,eletronicos,site,0.321,0.384,3,1,0
C00087,45,1,73,1070,109,beleza,app,0.394,0.129,2,4,4
C00088,7,5,5,590,220,moda,site,0.151,0.226,3,2,0
C00089,42,24,5,6950,396,eletronicos,site,0.07,0.582,10,0,1
C00090,39,24,16,12700,492,beleza,site,0.016,0.358,9,2,1
C00091,5,20,16,2670,40,beleza,app,0.595,0.33,16,0,4
C00092,60,16,26,12340,569,moda,site,0.07,0.739,16,1,2
C00093,30,16,24,1870,124,mercado,app,0.688,0.386,17,3,1
C00094,24,1,119,510,117,beleza,site,0.6,0.156,5,4,5
C00095,52,18,11,6680,381,casa,app,0.033,0.694,16,1,3
C00096,18,17,22,2690,74,mercado,app,0.827,0.435,5,1,2
C00097,25,0,130,500,267,beleza,site,0.709,0.057,1,7,2
C00098,11,20,14,2970,102,beleza,app,0.716,0.435,10,0,3
C00099,43,22,5,6740,303,casa,site,0.086,0.523,15,2,1
C00100,4,2,19,280,75,eletronicos,app,0.03,0.054,3,0,1
C00101,46,13,34,7670,361,casa,site,0.048,0.749,21,0,0
C00102,22,18,18,1980,70,moda,site,0.691,0.394,19,3,1
C00103,30,18,34,1440,112,mercado,loja,0.847,0.1,11,1,0
C00104,48,3,125,1150,94,casa,loja,0.223,0.035,2,4,5
C00105,72,21,9,2990,387,casa,app,0.11,0.53,26,1,1
C00106,14,5,216,80,140,moda,loja,0.523,0.079,1,12,3
C00107,4,1,119,880,45,casa,app,0.369,0.068,1,0,1
C00108,25,22,28,2820,78,mercado,app,0.712,0.377,11,0,3
C00109,15,10,20,3840,34,mercado,app,0.78,0.221,11,3,3
C00110,1,4,44,410,239,mercado,site,0.413,0.271,5,0,0
C00111,34,15,11,1570,128,mercado,app,0.96,0.38,13,2,1
C00112,62,1,133,740,130,beleza,site,0.1,0.068,1,3,3
C00113,4,5,77,630,40,eletronicos,loja,0.19,0.142,2,1,0
C00114,5,3,78,920,306,casa,app,0.0,0.002,0,1,1
C00115,41,29,17,7680,272,eletronicos,site,0.089,0.55,24,3,1
C00116,44,15,1,6280,338,beleza,site,0.213,0.8,8,2,2
C00117,42,2,112,850,264,moda,loja,0.357,0.109,2,8,2
C00118,34,17,11,3810,298,beleza,app,0.121,0.658,10,2,0
C00119,13,16,24,1900,86,mercado,app,0.79,0.359,4,6,2
C00120,30,13,19,5580,302,casa,site,0.083,0.619,13,1,1
C00121,14,4,30,1050,74,eletronicos,app,0.717,0.212,21,3,3
C00122,3,4,111,380,190,mercado,app,0.38,0.0,3,0,1
C00123,37,21,5,5930,120,casa,site,0.165,0.467,23,1,0
C00124,8,7,48,3440,77,mercado,app,0.699,0.608,4,2,2
C00125,58,1,237,1420,137,moda,loja,0.493,0.07,0,5,5
C00126,41,1,133,600,93,mercado,site,0.597,0.0,3,1,0
C00127,34,0,122,450,133,casa,loja,0.139,0.11,4,5,6
C00128,1,3,24,60,143,mercado,app,0.019,0.106,6,1,1
C00129,41,1,70,1200,110,beleza,loja,0.362,0.033,4,1,5
C00130,6,5,112,220,202,beleza,app,0.262,0.0,2,1,2
C00131,48,17,1,7580,310,beleza,site,0.138,0.875,15,2,0
C00132,44,21,13,5420,464,moda,site,0.025,0.582,13,0,0
C00133,7,2,107,570,146,beleza,app,0.18,0.0,0,2,0
C00134,59,12,18,7210,304,casa,app,0.004,0.426,8,2,0
C00135,14,17,40,2200,158,beleza,app,0.604,0.323,5,1,3
C00136,2,4,87,650,98,beleza,loja,0.313,0.182,3,1,0
C00137,26,16,13,2350,119,moda,app,0.99,0.456,17,1,1
C00138,40,19,19,1380,108,mercado,app,0.691,0.369,8,1,2
C00139,36,1,155,660,191,eletronicos,loja,0.447,0.197,2,9,5
C00140,31,16,2,1790,58,moda,app,0.697,0.361,20,2,1
C00141,4,2,15,110,146,eletronicos,app,0.206,0.127,4,1,1
C00142,42,28,3,3160,350,eletronicos,app,0.092,0.505,11,2,2
C00143,4,3,30,370,299,casa,app,0.394,0.174,3,0,1
C00144,34,22,37,4970,195,casa,app,0.135,0.518,11,1,0
C00145,6,5,44,620,49,beleza,app,0.169,0.177,1,1,0
C00146,30,18,26,3420,368,casa,site,0.126,0.541,15,1,0
C00147,6,4,121,520,40,casa,site,0.238,0.068,0,0,0
C00148,46,1,181,1260,196,casa,loja,0.489,0.118,2,6,1
C00149,3,20,35,2610,79,moda,app,0.946,0.308,10,4,2
C00150,32,24,18,3490,221,casa,site,0.176,0.71,11,0,0
C00151,14,2,100,810,178,moda,site,0.261,0.112,4,3,5
C00152,29,5,272,760,115,mercado,site,0.585,0.149,1,6,4
C00153,4,1,90,60,139,casa,site,0.256,0.063,4,0,1
C00154,52,26,6,6690,491,casa,site,0.004,0.511,9,0,1
C00155,4,3,54,520,162,moda,site,0.104,0.093,2,1,1
C00156,51,18,22,7920,374,eletronicos,site,0.003,0.446,19,0,0
C00157,4,19,37,2580,41,moda,site,0.667,0.343,11,2,3
C00158,5,4,32,890,235,mercado,app,0.346,0.175,4,0,1
C00159,37,2,182,770,98,mercado,site,0.471,0.103,0,5,2
C00160,41,20,19,8780,284,beleza,site,0.118,0.69,7,2,1
C00161,39,16,24,2160,82,moda,loja,0.86,0.509,20,4,2
C00162,7,4,49,260,155,beleza,site,0.397,0.075,4,1,0
C00163,32,8,47,9830,548,eletronicos,site,0.099,0.473,16,0,1
C00164,37,17,8,9120,392,eletronicos,app,0.066,0.454,7,2,0
C00165,3,4,24,2210,96,beleza,app,0.423,0.195,15,5,1
C00166,26,16,43,770,77,casa,app,0.517,0.185,14,5,1
C00167,25,16,17,3050,495,eletronicos,loja,0.034,0.482,20,2,2
C00168,4,3,82,450,169,casa,site,0.0,0.1,2,2,1
C00169,35,18,4,5530,204,eletronicos,site,0.066,0.582,11,1,1
C00170,1,3,75,120,76,casa,app,0.528,0.1,3,0,1
C00171,43,1,291,1370,227,moda,loja,0.416,0.043,0,6,4
C00172,48,22,18,6860,395,casa,site,0.134,0.54,24,1,0
C00173,51,3,180,920,271,mercado,site,0.526,0.113,1,4,3
C00174,26,10,50,2350,83,moda,app,0.859,0.442,10,3,0
C00175,21,15,11,3180,90,mercado,app,0.617,0.313,17,3,4
C00176,3,2,76,390,188,moda,site,0.445,0.098,5,1,0
C00177,1,1,86,630,123,moda,site,0.319,0.201,3,0,1
C00178,31,13,2,1960,55,moda,app,0.678,0.297,9,2,3
C00179,21,1,70,80,148,mercado,loja,0.559,0.077,4,7,6
C00180,55,15,35,5360,166,beleza,site,0.098,0.601,16,1,0
C00181,41,20,25,5900,376,beleza,site,0.094,0.575,15,0,0
C00182,25,20,42,2840,69,mercado,app,0.573,0.179,12,4,0
C00183,5,5,75,740,181,mercado,app,0.0,0.076,2,0,0
C00184,2,2,76,760,137,casa,site,0.256,0.082,5,1,0
C00185,4,3,50,290,132,beleza,site,0.523,0.075,5,1,0
C00186,4,1,79,150,59,mercado,site,0.14,0.08,1,1,1
C00187,3,7,67,60,177,moda,app,0.519,0.141,5,2,1
C00188,34,3,117,910,193,casa,loja,0.336,0.099,5,3,5
C00189,28,7,80,2220,87,beleza,loja,0.696,0.5,11,0,2
C00190,27,24,13,4970,442,mercado,site,0.0,0.626,15,0,0
C00191,3,4,87,540,153,moda,app,0.515,0.182,2,0,1
